Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE
,0,languages,uint8z,[N],,,,,,,,,Use language_bits_x types where x is index of array.,,4
,1,sports,sport_bits_0,[N],,,,,,,,,Use sport_bits_x types where x is index of array.,,1
,21,workouts_supported,workout_capabilities,,,,,,,,,,,,1
,23,connectivity_supported,connectivity_capabilities,,,,,,,,,,,,1
file_capabilities,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,type,file,,,,,,,,,,,,1
,1,flags,file_flags,,,,,,,,,,,,1
,2,directory,string,,,,,,,,,,,,16
,3,max_count,uint16,,,,,,,,,,,,1
,4,max_size,uint32,,,,,bytes,,,,,,,1
mesg_capabilities,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,file,file,,,,,,,,,,,,1
,1,mesg_num,mesg_num,,,,,,,,,,,,1
,2,count_type,mesg_count,,,,,,,,,,,,1
,3,count,uint16,,,,,,,,,,,,1
,,num_per_file,uint16,,,,,,,,count_type,num_per_file,,,1
,,max_per_file,uint16,,,,,,,,count_type,max_per_file,,,1
,,max_per_file_type,uint16,,,,,,,,count_type,max_per_file_type,,,1
field_capabilities,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,file,file,,,,,,,,,,,,1
,1,mesg_num,mesg_num,,,,,,,,,,,,1
,2,field_num,uint8,,,,,,,,,,,,1
,3,count,uint16,,,,,,,,,,,,1
,,,SETTINGS FILE MESSAGES,,,,,,,,,,,,
device_settings,,,,,,,,,,,,,,,
,0,active_time_zone,uint8,,,,,,,,,,Index into time zone arrays.,,1
,1,utc_offset,uint32,,,,,,,,,,Offset from system time. Required to convert timestamp from system time to UTC.,,1
,2,time_offset,uint32,[N],,,,s,,,,,Offset from system time.,,2
,4,time_mode,time_mode,[N],,,,,,,,,Display mode for the time,,2
,5,time_zone_offset,sint8,[N],,4,,hr,,,,,timezone offset in 1/4 hour increments,,2
,12,backlight_mode,backlight_mode,,,,,,,,,,Mode for backlight,,1
,36,activity_tracker_enabled,bool,,,,,,,,,,Enabled state of the activity tracker functionality,,1
,39,clock_time,date_time,,,,,,,,,,UTC timestamp used to set the devices clock and date,,1
,40,pages_enabled,uint16,[N],,,,,,,,,Bitfield to configure enabled screens for each supported loop,,1
,46,move_alert_enabled,bool,,,,,,,,,,Enabled state of the move alert,,1
,47,date_mode,date_mode,,,,,,,,,,Display mode for the date,,1
,55,display_orientation,display_orientation,,,,,,,,,,,,1
,56,mounting_side,side,,,,,,,,,,,,1
,57,default_page,uint16,[N],,,,,,,,,Bitfield to indicate one page as default for each supported loop,,1
,58,autosync_min_steps,uint16,,,,,steps,,,,,Minimum steps before an autosync can occur,,1
,59,autosync_min_time,uint16,,,,,minutes,,,,,Minimum minutes before an autosync can occur,,1
,80,lactate_threshold_autodetect_enabled,bool,,,,,,,,,,Enable auto-detect setting for the lactate threshold feature.,,
,86,ble_auto_upload_enabled,bool,,,,,,,,,,Automatically upload using BLE,,
,89,auto_sync_frequency,auto_sync_frequency,,,,,,,,,,Helps to conserve battery by changing modes,,
,90,auto_activity_detect,auto_activity_detect,,,,,,,,,,Allows setting specific activities auto-activity detect enabled/disabled settings,,
,94,number_of_screens,uint8,,,,,,,,,,Number of screens configured to display,,
,95,smart_notification_display_orientation,display_orientation,,,,,,,,,,Smart Notification display orientation,,
,134,tap_interface,switch,,,,,,,,,,,,
,174,tap_sensitivity,tap_sensitivity,,,,,,,,,,Used to hold the tap threshold setting,,1
user_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,friendly_name,string,,,,,,,,,,,,16
,1,gender,gender,,,,,,,,,,,,1
,2,age,uint8,,,,,years,,,,,,,1
,3,height,uint8,,,100,,m,,,,,,,1
,4,weight,uint16,,,10,,kg,,,,,,,1
,5,language,language,,,,,,,,,,,,1
,6,elev_setting,display_measure,,,,,,,,,,,,1
,7,weight_setting,display_measure,,,,,,,,,,,,1
,8,resting_heart_rate,uint8,,,,,bpm,,,,,,,1
,9,default_max_running_heart_rate,uint8,,,,,bpm,,,,,,,1
,10,default_max_biking_heart_rate,uint8,,,,,bpm,,,,,,,1
,11,default_max_heart_rate,uint8,,,,,bpm,,,,,,,1
,12,hr_setting,display_heart,,,,,,,,,,,,1
,13,speed_setting,display_measure,,,,,,,,,,,,1
,14,dist_setting,display_measure,,,,,,,,,,,,1
,16,power_setting,display_power,,,,,,,,,,,,1
,17,activity_class,activity_class,,,,,,,,,,,,1
,18,position_setting,display_position,,,,,,,,,,,,1
,21,temperature_setting,display_measure,,,,,,,,,,,,1
,22,local_id,user_local_id,,,,,,,,,,,,1
,23,global_id,byte,[6],,,,,,,,,,,1
,28,wake_time,localtime_into_day,,,,,,,,,,Typical wake time,,
,29,sleep_time,localtime_into_day,,,,,,,,,,Typical bed time,,
,30,height_setting,display_measure,,,,,,,,,,,,1
,31,user_running_step_length,uint16,,,1000,,m,,,,,User defined running step length set to 0 for auto length,,1
,32,user_walking_step_length,uint16,,,1000,,m,,,,,User defined walking step length set to 0 for auto length,,1
,47,depth_setting,display_measure,,,,,,,,,,,,
,49,dive_count,uint32,,,,,,,,,,,,
hrm_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,enabled,bool,,,,,,,,,,,,1
,1,hrm_ant_id,uint16z,,,,,,,,,,,,1
,2,log_hrv,bool,,,,,,,,,,,,1
,3,hrm_ant_id_trans_type,uint8z,,,,,,,,,,,,1
sdm_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,enabled,bool,,,,,,,,,,,,1
,1,sdm_ant_id,uint16z,,,,,,,,,,,,1
,2,sdm_cal_factor,uint16,,,10,,%,,,,,,,1
,3,odometer,uint32,,,100,,m,,,,,,,1
,4,speed_source,bool,,,,,,,,,,Use footpod for speed source instead of GPS,,1
,5,sdm_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,7,odometer_rollover,uint8,,,,,,,,,,Rollover counter that can be used to extend the odometer,,1
bike_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,name,string,,,,,,,,,,,,16
,1,sport,sport,,,,,,,,,,,,1
,2,sub_sport,sub_sport,,,,,,,,,,,,1
,3,odometer,uint32,,,100,,m,,,,,,,1
,4,bike_spd_ant_id,uint16z,,,,,,,,,,,,1
,5,bike_cad_ant_id,uint16z,,,,,,,,,,,,1
,6,bike_spdcad_ant_id,uint16z,,,,,,,,,,,,1
,7,bike_power_ant_id,uint16z,,,,,,,,,,,,1
,8,custom_wheelsize,uint16,,,1000,,m,,,,,,,1
,9,auto_wheelsize,uint16,,,1000,,m,,,,,,,1
,10,bike_weight,uint16,,,10,,kg,,,,,,,1
,11,power_cal_factor,uint16,,,10,,%,,,,,,,1
,12,auto_wheel_cal,bool,,,,,,,,,,,,1
,13,auto_power_zero,bool,,,,,,,,,,,,1
,14,id,uint8,,,,,,,,,,,,1
,15,spd_enabled,bool,,,,,,,,,,,,1
,16,cad_enabled,bool,,,,,,,,,,,,1
,17,spdcad_enabled,bool,,,,,,,,,,,,1
,18,power_enabled,bool,,,,,,,,,,,,1
,19,crank_length,uint8,,,2,-110,mm,,,,,,,1
,20,enabled,bool,,,,,,,,,,,,1
,21,bike_spd_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,22,bike_cad_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,23,bike_spdcad_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,24,bike_power_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,37,odometer_rollover,uint8,,,,,,,,,,Rollover counter that can be used to extend the odometer,,1
,38,front_gear_num,uint8z,,,,,,,,,,Number of front gears,,1
,39,front_gear,uint8z,[N],,,,,,,,,Number of teeth on each gear 0 is innermost,,1
,40,rear_gear_num,uint8z,,,,,,,,,,Number of rear gears,,1
,41,rear_gear,uint8z,[N],,,,,,,,,Number of teeth on each gear 0 is innermost,,1
,44,shimano_di2_enabled,bool,,,,,,,,,,,,1
connectivity,,,,,,,,,,,,,,,
,0,bluetooth_enabled,bool,,,,,,,,,,Use Bluetooth for connectivity features,,1
,1,bluetooth_le_enabled,bool,,,,,,,,,,Use Bluetooth Low Energy for connectivity features,,1
,2,ant_enabled,bool,,,,,,,,,,Use ANT for connectivity features,,1
,3,name,string,,,,,,,,,,,,24
,4,live_tracking_enabled,bool,,,,,,,,,,,,1
,5,weather_conditions_enabled,bool,,,,,,,,,,,,1
,6,weather_alerts_enabled,bool,,,,,,,,,,,,1
,7,auto_activity_upload_enabled,bool,,,,,,,,,,,,1
,8,course_download_enabled,bool,,,,,,,,,,,,1
,9,workout_download_enabled,bool,,,,,,,,,,,,1
,10,gps_ephemeris_download_enabled,bool,,,,,,,,,,,,1
,11,incident_detection_enabled,bool,,,,,,,,,,,,1
,12,grouptrack_enabled,bool,,,,,,,,,,,,1
watchface_settings,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,
,0,mode,watchface_mode,,,,,,,,,,,,
,1,layout,byte,,,,,,,,,,,,
,,digital_layout,digital_watchface_layout,,,,,,,,mode,digital,,,
,,analog_layout,analog_watchface_layout,,,,,,,,mode,analog,,,
ohr_settings,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,
,0,enabled,switch,,,,,,,,,,,,
time_in_zone,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,
,0,reference_mesg,mesg_num,,,,,,,,,,,,
,1,reference_index,message_index,,,,,,,,,,,,
,2,time_in_hr_zone,uint32,[N],,1000,,s,,,,,,,
,3,time_in_speed_zone,uint32,[N],,1000,,s,,,,,,,
,4,time_in_cadence_zone,uint32,[N],,1000,,s,,,,,,,
,5,time_in_power_zone,uint32,[N],,1000,,s,,,,,,,
,6,hr_zone_high_boundary,uint8,[N],,,,bpm,,,,,,,
,7,speed_zone_high_boundary,uint16,[N],,1000,,m/s,,,,,,,
,8,cadence_zone_high_bondary,uint8,[N],,,,rpm,,,,,,,
,9,power_zone_high_boundary,uint16,[N],,,,watts,,,,,,,
,10,hr_calc_type,hr_zone_calc,,,,,,,,,,,,
,11,max_heart_rate,uint8,,,,,,,,,,,,
,12,resting_heart_rate,uint8,,,,,,,,,,,,
,13,threshold_heart_rate,uint8,,,,,,,,,,,,
,14,pwr_calc_type,pwr_zone_calc,,,,,,,,,,,,
,15,functional_threshold_power,uint16,,,,,,,,,,,,
,,,SPORT SETTINGS FILE MESSAGES,,,,,,,,,,,,
zones_target,,,,,,,,,,,,,,,
,1,max_heart_rate,uint8,,,,,,,,,,,,1
,2,threshold_heart_rate,uint8,,,,,,,,,,,,1
,3,functional_threshold_power,uint16,,,,,,,,,,,,1
,5,hr_calc_type,hr_zone_calc,,,,,,,,,,,,1
,7,pwr_calc_type,pwr_zone_calc,,,,,,,,,,,,1
sport,,,,,,,,,,,,,,,
,0,sport,sport,,,,,,,,,,,,1
,1,sub_sport,sub_sport,,,,,,,,,,,,1
,3,name,string,,,,,,,,,,,,16
hr_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,high_bpm,uint8,,,,,bpm,,,,,,,1
,2,name,string,,,,,,,,,,,,16
speed_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,high_value,uint16,,,1000,,m/s,,,,,,,1
,1,name,string,,,,,,,,,,,,16
cadence_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,high_value,uint8,,,,,rpm,,,,,,,1
,1,name,string,,,,,,,,,,,,16
power_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,high_value,uint16,,,,,watts,,,,,,,1
,2,name,string,,,,,,,,,,,,16
met_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,high_bpm,uint8,,,,,,,,,,,,1
,2,calories,uint16,,,10,,kcal / min,,,,,,,1
,3,fat_calories,uint8,,,10,,kcal / min,,,,,,,1
dive_settings,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,
,0,name,string,,,,,,,,,,,,16
,1,model,tissue_model_type,,,,,,,,,,,,
,2,gf_low,uint8,,,,,percent,,,,,,,
,3,gf_high,uint8,,,,,percent,,,,,,,
,4,water_type,water_type,,,,,,,,,,,,
,5,water_density,float32,,,,,kg/m^3,,,,,Fresh water is usually 1000; salt water is usually 1025,,
,6,po2_warn,uint8,,,100,,percent,,,,,Typically 1.40,,
,7,po2_critical,uint8,,,100,,percent,,,,,Typically 1.60,,
,8,po2_deco,uint8,,,100,,percent,,,,,,,
,9,safety_stop_enabled,bool,,,,,,,,,,,,
,10,bottom_depth,float32,,,,,,,,,,,,
,11,bottom_time,uint32,,,,,,,,,,,,
,12,apnea_countdown_enabled,bool,,,,,,,,,,,,
,13,apnea_countdown_time,uint32,,,,,,,,,,,,
,14,backlight_mode,dive_backlight_mode,,,,,,,,,,,,
,15,backlight_brightness,uint8,,,,,,,,,,,,
,16,backlight_timeout,backlight_timeout,,,,,,,,,,,,
,17,repeat_dive_interval,uint16,,,1,,s,,,,,Time between surfacing and ending the activity,,
,18,safety_stop_time,uint16,,,1,,s,,,,,Time at safety stop (if enabled),,
,19,heart_rate_source_type,source_type,,,,,,,,,,,,
,20,heart_rate_source,uint8,,,,,,,,,,,,1
,,heart_rate_antplus_device_type,antplus_device_type,,,,,,,,heart_rate_source_type,antplus,,,1
,,heart_rate_local_device_type,local_device_type,,,,,,,,heart_rate_source_type,local,,,1
dive_alarm,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,Index of the alarm,,
,0,depth,uint32,,,1000,,m,,,,,Depth setting (m) for depth type alarms,,
,1,time,sint32,,,1,,s,,,,,Time setting (s) for time type alarms,,
,2,enabled,bool,,,,,,,,,,Enablement flag,,
,3,alarm_type,dive_alarm_type,,,,,,,,,,Alarm type setting,,
,4,sound,tone,,,,,,,,,,Tone and Vibe setting for the alarm,,
,5,dive_types,sub_sport,[N],,,,,,,,,Dive types the alarm will trigger on,,
dive_gas,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,
,0,helium_content,uint8,,,,,percent,,,,,,,
,1,oxygen_content,uint8,,,,,percent,,,,,,,
,2,status,dive_gas_status,,,,,,,,,,,,
,,,GOALS FILE MESSAGES,,,,,,,,,,,,
goal,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,sport,sport,,,,,,,,,,,,1
,1,sub_sport,sub_sport,,,,,,,,,,,,1
,2,start_date,date_time,,,,,,,,,,,,1
,3,end_date,date_time,,,,,,,,,,,,1
,4,type,goal,,,,,,,,,,,,1
,5,value,uint32,,,,,,,,,,,,1
,6,repeat,bool,,,,,,,,,,,,1
,7,target_value,uint32,,,,,,,,,,,,1
,8,recurrence,goal_recurrence,,,,,,,,,,,,1
,9,recurrence_value,uint16,,,,,,,,,,,,1
,10,enabled,bool,,,,,,,,,,,,1
,11,source,goal_source,,,,,,,,,,,,1
,,,ACTIVITY FILE MESSAGES,,,,,,,,,,,,
activity,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,total_timer_time,uint32,,,1000,,s,,,,,Exclude pauses,,1
,1,num_sessions,uint16,,,,,,,,,,,,1
,2,type,activity,,,,,,,,,,,,1
,3,event,event,,,,,,,,,,,,1
,4,event_type,event_type,,,,,,,,,,,,1
,5,local_timestamp,local_date_time,,,,,,,,,,"timestamp epoch expressed in local time, used to convert activity timestamps to local time",,1
,6,event_group,uint8,,,,,,,,,,,,1
session,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,Selected bit is set for the current session.,,1
,253,timestamp,date_time,,,,,s,,,,,Sesson end time.,,1
,0,event,event,,,,,,,,,,session,,1
,1,event_type,event_type,,,,,,,,,,stop,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,start_position_lat,sint32,,,,,semicircles,,,,,,,1
,4,start_position_long,sint32,,,,,semicircles,,,,,,,1
,5,sport,sport,,,,,,,,,,,,1
,6,sub_sport,sub_sport,,,,,,,,,,,,1
,7,total_elapsed_time,uint32,,,1000,,s,,,,,Time (includes pauses),,1
,8,total_timer_time,uint32,,,1000,,s,,,,,Timer Time (excludes pauses),,1
,9,total_distance,uint32,,,100,,m,,,,,,,1
,10,total_cycles,uint32,,,,,cycles,,,,,,,1
,,total_strides,uint32,,,,,strides,,,"sport,sport","running,walking",,,1
,,total_strokes,uint32,,,,,strokes,,,"sport,sport,sport,sport","cycling,swimming,rowing,stand_up_paddleboarding",,,1
,11,total_calories,uint16,,,,,kcal,,,,,,,1
,13,total_fat_calories,uint16,,,,,kcal,,,,,,,1
,14,avg_speed,uint16,,enhanced_avg_speed,1000,,m/s,16,,,,total_distance / total_timer_time,,1
,15,max_speed,uint16,,enhanced_max_speed,1000,,m/s,16,,,,,,1
,16,avg_heart_rate,uint8,,,,,bpm,,,,,average heart rate (excludes pause time),,1
,17,max_heart_rate,uint8,,,,,bpm,,,,,,,1
,18,avg_cadence,uint8,,,,,rpm,,,,,total_cycles / total_timer_time if non_zero_avg_cadence otherwise total_cycles / total_elapsed_time,,1
,,avg_running_cadence,uint8,,,,,strides/min,,,sport,running,,,1
,19,max_cadence,uint8,,,,,rpm,,,,,,,1
,,max_running_cadence,uint8,,,,,strides/min,,,sport,running,,,1
,20,avg_power,uint16,,,,,watts,,,,,total_power / total_timer_time if non_zero_avg_power otherwise total_power / total_elapsed_time,,1
,21,max_power,uint16,,,,,watts,,,,,,,1
,22,total_ascent,uint16,,,,,m,,,,,,,1
,23,total_descent,uint16,,,,,m,,,,,,,1
,24,total_training_effect,uint8,,,10,,,,,,,,,1
,25,first_lap_index,uint16,,,,,,,,,,,,1
,26,num_laps,uint16,,,,,,,,,,,,1
,27,event_group,uint8,,,,,,,,,,,,1
,28,trigger,session_trigger,,,,,,,,,,,,1
,29,nec_lat,sint32,,,,,semicircles,,,,,North east corner latitude,,1
,30,nec_long,sint32,,,,,semicircles,,,,,North east corner longitude,,1
,31,swc_lat,sint32,,,,,semicircles,,,,,South west corner latitude,,1
,32,swc_long,sint32,,,,,semicircles,,,,,South west corner longitude,,1
,33,num_lengths,uint16,,,,,lengths,,,,,# of lengths of swim pool,,1
,34,normalized_power,uint16,,,,,watts,,,,,,,1
,35,training_stress_score,uint16,,,10,,tss,,,,,,,1
,36,intensity_factor,uint16,,,1000,,if,,,,,,,1
,37,left_right_balance,left_right_balance_100,,,,,,,,,,,,1
,41,avg_stroke_count,uint32,,,10,,strokes/lap,,,,,,,1
,42,avg_stroke_distance,uint16,,,100,,m,,,,,,,1
,43,swim_stroke,swim_stroke,,,,,swim_stroke,,,,,,,1
,44,pool_length,uint16,,,100,,m,,,,,,,1
,45,threshold_power,uint16,,,,,watts,,,,,,,1
,46,pool_length_unit,display_measure,,,,,,,,,,,,1
,47,num_active_lengths,uint16,,,,,lengths,,,,,# of active lengths of swim pool,,1
,48,total_work,uint32,,,,,J,,,,,,,1
,49,avg_altitude,uint16,,enhanced_avg_altitude,5,500,m,16,,,,,,1
,50,max_altitude,uint16,,enhanced_max_altitude,5,500,m,16,,,,,,1
,51,gps_accuracy,uint8,,,,,m,,,,,,,1
,52,avg_grade,sint16,,,100,,%,,,,,,,1
,53,avg_pos_grade,sint16,,,100,,%,,,,,,,1
,54,avg_neg_grade,sint16,,,100,,%,,,,,,,1
,55,max_pos_grade,sint16,,,100,,%,,,,,,,1
,56,max_neg_grade,sint16,,,100,,%,,,,,,,1
,57,avg_temperature,sint8,,,,,C,,,,,,,1
,58,max_temperature,sint8,,,,,C,,,,,,,1
,59,total_moving_time,uint32,,,1000,,s,,,,,,,1
,60,avg_pos_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,61,avg_neg_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,62,max_pos_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,63,max_neg_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,64,min_heart_rate,uint8,,,,,bpm,,,,,,,1
,65,time_in_hr_zone,uint32,[N],,1000,,s,,,,,,,1
,66,time_in_speed_zone,uint32,[N],,1000,,s,,,,,,,1
,67,time_in_cadence_zone,uint32,[N],,1000,,s,,,,,,,1
,68,time_in_power_zone,uint32,[N],,1000,,s,,,,,,,1
,69,avg_lap_time,uint32,,,1000,,s,,,,,,,1
,70,best_lap_index,uint16,,,,,,,,,,,,1
,71,min_altitude,uint16,,enhanced_min_altitude,5,500,m,16,,,,,,1
,82,player_score,uint16,,,,,,,,,,,,1
,83,opponent_score,uint16,,,,,,,,,,,,1
,84,opponent_name,string,,,,,,,,,,,,1
,85,stroke_count,uint16,[N],,,,counts,,,,,stroke_type enum used as the index,,1
,86,zone_count,uint16,[N],,,,counts,,,,,zone number used as the index,,1
,87,max_ball_speed,uint16,,,100,,m/s,,,,,,,1
,88,avg_ball_speed,uint16,,,100,,m/s,,,,,,,1
,89,avg_vertical_oscillation,uint16,,,10,,mm,,,,,,,1
,90,avg_stance_time_percent,uint16,,,100,,percent,,,,,,,1
,91,avg_stance_time,uint16,,,10,,ms,,,,,,,1
,92,avg_fractional_cadence,uint8,,,128,,rpm,,,,,fractional part of the avg_cadence,,1
,93,max_fractional_cadence,uint8,,,128,,rpm,,,,,fractional part of the max_cadence,,1
,94,total_fractional_cycles,uint8,,,128,,cycles,,,,,fractional part of the total_cycles,,1
,95,avg_total_hemoglobin_conc,uint16,[N],,100,,g/dL,,,,,Avg saturated and unsaturated hemoglobin,,
,96,min_total_hemoglobin_conc,uint16,[N],,100,,g/dL,,,,,Min saturated and unsaturated hemoglobin,,
,97,max_total_hemoglobin_conc,uint16,[N],,100,,g/dL,,,,,Max saturated and unsaturated hemoglobin,,
,98,avg_saturated_hemoglobin_percent,uint16,[N],,10,,%,,,,,Avg percentage of hemoglobin saturated with oxygen,,
,99,min_saturated_hemoglobin_percent,uint16,[N],,10,,%,,,,,Min percentage of hemoglobin saturated with oxygen,,
,100,max_saturated_hemoglobin_percent,uint16,[N],,10,,%,,,,,Max percentage of hemoglobin saturated with oxygen,,
,101,avg_left_torque_effectiveness,uint8,,,2,,percent,,,,,,,
,102,avg_right_torque_effectiveness,uint8,,,2,,percent,,,,,,,
,103,avg_left_pedal_smoothness,uint8,,,2,,percent,,,,,,,
,104,avg_right_pedal_smoothness,uint8,,,2,,percent,,,,,,,
,105,avg_combined_pedal_smoothness,uint8,,,2,,percent,,,,,,,
,111,sport_index,uint8,,,,,,,,,,,,1
,112,time_standing,uint32,,,1000,,s,,,,,Total time spend in the standing position,,
,113,stand_count,uint16,,,,,,,,,,Number of transitions to the standing state,,
,114,avg_left_pco,sint8,,,,,mm,,,,,Average platform center offset Left,,
,115,avg_right_pco,sint8,,,,,mm,,,,,Average platform center offset Right,,
,116,avg_left_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase angles. Indexes defined by power_phase_type.,,
,117,avg_left_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase peak angles. Data value indexes defined by power_phase_type.,,
,118,avg_right_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase angles. Data value indexes defined by power_phase_type.,,
,119,avg_right_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase peak angles data value indexes defined by power_phase_type.,,
,120,avg_power_position,uint16,[N],,,,watts,,,,,Average power by position. Data value indexes defined by rider_position_type.,,
,121,max_power_position,uint16,[N],,,,watts,,,,,Maximum power by position. Data value indexes defined by rider_position_type.,,
,122,avg_cadence_position,uint8,[N],,,,rpm,,,,,Average cadence by position. Data value indexes defined by rider_position_type.,,
,123,max_cadence_position,uint8,[N],,,,rpm,,,,,Maximum cadence by position. Data value indexes defined by rider_position_type.,,
,124,enhanced_avg_speed,uint32,,,1000,,m/s,,,,,total_distance / total_timer_time,,1
,125,enhanced_max_speed,uint32,,,1000,,m/s,,,,,,,1
,126,enhanced_avg_altitude,uint32,,,5,500,m,,,,,,,1
,127,enhanced_min_altitude,uint32,,,5,500,m,,,,,,,1
,128,enhanced_max_altitude,uint32,,,5,500,m,,,,,,,1
,129,avg_lev_motor_power,uint16,,,,,watts,,,,,lev average motor power during session,,
,130,max_lev_motor_power,uint16,,,,,watts,,,,,lev maximum motor power during session,,
,131,lev_battery_consumption,uint8,,,2,,percent,,,,,lev battery consumption during session,,
,132,avg_vertical_ratio,uint16,,,100,,percent,,,,,,,
,133,avg_stance_time_balance,uint16,,,100,,percent,,,,,,,
,134,avg_step_length,uint16,,,10,,mm,,,,,,,
,137,total_anaerobic_training_effect,uint8,,,10,,,,,,,,,1
,139,avg_vam,uint16,,,1000,,m/s,16,,,,,,1
,147,avg_respiration_rate,uint8,,enhanced_avg_respiration_rate,,,,8,,,,,,
,148,max_respiration_rate,uint8,,enhanced_max_respiration_rate,,,,8,,,,,,
,149,min_respiration_rate,uint8,,enhanced_min_respiration_rate,,,,8,,,,,,
,168,training_load_peak,sint32,,,65536,,,,,,,,,
,169,enhanced_avg_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,170,enhanced_max_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
